"SERIESNAME","PUNEW","PUXX","GDPD","GMDC","LBGDPU","HSBR","IPXMCA","LBOUTU","LOUTM","IP","GMPYQ","LP","LUINC","GMCQ","GMCDQ","GMCNQ","GMCSQ","FSNCOM","FSPCOM","FYFF","FYGT1","FYGT10","FYGM3","LHUR"
" 1959:1",29.01,29.9,21.8257809,NA,26.1,1478,80.197,50.7,41.2000000000001,34.414,1780,44434,294.1,1356.453,97.467,595.59,667.029,29.66,55.62,2.48,3.36,4.02,2.82,6
" 1959:2",29,29.9,21.8257809,NA,26.1,1542,81.443,50.7,41.2000000000001,35.088,1789.9,44584,286.2,1369.872,101.932,597.744,670.812,29.28,54.77,2.4,3.54,3.96,2.7,5.9
" 1959:3",28.97,30,21.8257809,NA,26.1,1611,82.477,50.7,41.2000000000001,35.593,1803.8,44881,259.7,1383.376,102.298,606.64,674.859,30.01,56.15,2.8,3.61,3.99,2.8,5.6
" 1959:4",28.98,30,21.8315898,NA,26.1,1539,83.992,51.4,41.6000000000001,36.352,1815.7,45116,246.1,1378.818,103.793,596.938,678.763,30.53,57.1,2.96,3.72,4.12,2.95,5.2
" 1959:5",29.04,30.1,21.8315898,NA,26.1,1513,84.916,51.4,41.6000000000001,36.899,1828.5,45400,248,1395.318,104.028,608.451,683.317,31.01,57.96,2.9,3.96,4.31,2.84,5.1
" 1959:6",29.11,30.2,21.8315898,NA,26.1,1490,84.769,51.4,41.6000000000001,36.941,1834.9,45575,259.4,1400.888,105.137,609.072,686.931,30.74,57.46,3.39,4.07,4.34,3.21,5
" 1959:7",29.15,30.2,21.8838466,NA,26.1,1452,82.98,51.5,40.4,36.057,1832,45628,265.5,1396.668,104.023,604.776,689.894,31.96,59.74,3.44,4.39,4.4,3.2,5.1
" 1959:8",29.18,30.2,21.8838466,NA,26.1,1465,79.468,51.5,40.4,34.835,1822.3,45168,293.5,1405.445,106.495,606.534,692.93,31.81,59.4,3.5,4.42,4.43,3.38,5.2
" 1959:9",29.25,30.3,21.8838466,NA,26.1,1411,79.049,51.5,40.4,34.793,1823.6,45149,273,1419.371,109.055,612.879,695.99,30.65,57.05,3.76,5,4.68,4.04,5.5
" 1959:10",29.35,30.4,21.9828139,NA,26.3,1358,78.154,51.4,40.5000000000001,34.54,1826.3,45069,313.1,1410.214,102.748,612.337,699.388,30.64,57,3.98,4.8,4.53,4.05,5.7
" 1959:11",29.35,30.4,21.9828139,NA,26.3,1298,78.505,51.4,40.5000000000001,34.751,1840.6,45342,353.6,1409.454,102.288,609.641,703.026,30.72,57.23,4,4.81,4.53,4.15,5.8
" 1959:12",29.41,30.5,21.9828139,NA,26.3,1394,83.568,51.4,40.5000000000001,36.899,1858.5,45846,277.2,1408.652,97.838,614.532,705.459,31.74,59.06,3.99,5.14,4.69,4.49,5.3
" 1960:1",29.37,30.5,22.08,NA,26.3,1092,85.562,52.6,42.1000000000001,37.868,1865.3,46008,282.6,1412.408,99.049,613.434,708.833,31,58.03,3.99,5.03,4.72,4.35,5.2
" 1960:2",29.41,30.6,22.08,NA,26.3,1088,84.611,52.6,42.1000000000001,37.531,1866.6,46221,272.6,1417.851,105.039,607.129,710.616,30.07,55.78,3.97,4.66,4.49,3.96,4.8
" 1960:3",29.41,30.6,22.08,NA,26.3,955,83.242,52.6,42.1000000000001,37.194,1869.5,45904,305.3,1437.347,109.397,615.708,713.627,29.53,55.02,3.84,4.02,4.25,3.31,5.4
" 1960:4",29.54,30.6,22.15,NA,26.4,1016,82.259,51.8,41.7000000000001,36.899,1875.2,46235,296,1459.332,113.075,628.12,716.205,29.9,55.73,3.92,4.04,4.28,3.23,5.2
" 1960:5",29.57,30.6,22.15,NA,26.4,1052,81.471,51.8,41.7000000000001,36.857,1879.7,46064,318.1,1429.962,105.244,612.483,718.013,29.82,55.22,3.85,4.21,4.35,3.29,5.1
" 1960:6",29.61,30.7,22.15,NA,26.4,958,80.224,51.8,41.7000000000001,36.394,1880.1,45978,323.8,1429.667,102.376,617.228,717.651,30.85,57.26,3.32,3.36,4.15,2.46,5.4
