"SERIESNAME","PUNEW","PUXX","GDPD","GMDC","LBGDPU","HSBR","IPXMCA","LBOUTU","LOUTM","IP","GMPYQ","LP","LUINC","GMCQ","GMCDQ","GMCNQ","GMCSQ","FSNCOM","FSPCOM","FYFF","FYGT1","FYGT10","FYGM3","LHUR"
" 1959:1",28.9933333333333,29.9333333333333,21.8257809,NA,26.1,1543.66666666667,81.3723333333333,50.7,41.2000000000001,35.0316666666667,1791.23333333333,44633,280,1369.90033333333,100.565666666667,599.991333333333,670.9,88.95,55.5133333333333,2.56,3.50333333333333,3.99,2.77333333333333,5.83333333333333
" 1959:2",29.0433333333333,30.1,21.8315898,NA,26.1,1514,84.559,51.4,41.6000000000001,36.7306666666667,1826.36666666667,45363.6666666667,251.166666666667,1391.67466666667,104.319333333333,604.820333333333,683.003666666667,92.28,57.5066666666667,3.08333333333333,3.91666666666667,4.25666666666667,3,5.1
" 1959:3",29.1933333333333,30.2333333333333,21.8838466,NA,26.1,1442.66666666667,80.499,51.5,40.4,35.2283333333333,1825.96666666667,45315,277.333333333333,1407.16133333333,106.524333333333,608.063,692.938,94.42,58.73,3.56666666666667,4.60333333333333,4.50333333333333,3.54,5.26666666666667
" 1959:4",29.37,30.4333333333333,21.9828139,NA,26.3,1350,80.0756666666667,51.4,40.5000000000001,35.3966666666667,1841.8,45419,314.633333333333,1409.44,100.958,612.17,702.624333333334,93.1,57.7633333333333,3.99,4.91666666666667,4.58333333333333,4.23,5.6
" 1960:1",29.3966666666667,30.5666666666667,22.08,NA,26.3,1045,84.4716666666667,52.6,42.1000000000001,37.531,1867.13333333333,46044.3333333333,286.833333333333,1422.53533333333,104.495,612.090333333333,711.025333333333,90.6,56.2766666666667,3.93333333333333,4.57,4.48666666666667,3.87333333333333,5.13333333333333
" 1960:2",29.5733333333333,30.6333333333333,22.15,NA,26.4,1008.66666666667,81.318,51.8,41.7000000000001,36.7166666666667,1878.33333333333,46092.3333333333,312.633333333333,1439.65366666667,106.898333333333,619.277,717.289666666667,90.57,56.07,3.69666666666667,3.87,4.26,2.99333333333333,5.23333333333333
" 1960:3",29.59,30.6,22.23,NA,26.5,992.333333333333,78.8986666666667,52,41.6000000000001,36.1126666666667,1881.13333333333,45820.3333333333,352.533333333333,1433.47866666667,106.117,614.954333333333,717.113333333333,90.17,55.72,2.93666666666667,3.07333333333333,3.83333333333333,2.36,5.53333333333333
" 1960:4",29.78,30.7666666666667,22.3,NA,26.6,967.333333333333,75.8523333333333,51.4,41.7000000000001,35.2426666666667,1879.33333333333,45406,382.4,1434.75866666667,103.231,615.439333333333,724.245,88.77,55.3333333333333,2.29666666666667,2.99333333333333,3.88666666666667,2.30666666666667,6.26666666666667
" 1961:1",29.84,30.8333333333333,22.35,NA,26.6,976.666666666667,73.8283333333333,52.1,41.4,34.709,1892.96666666667,45017,403.366666666667,1434.21,97.1216666666667,619.457666666667,731.497333333333,99.11,62.0033333333333,2.00333333333333,2.87333333333333,3.78666666666667,2.35,6.8
" 1961:2",29.83,30.9333333333333,22.4,NA,26.7,1033,76.3543333333333,53.6,42.5000000000001,36.0846666666667,1919.76666666667,45154.6666666667,360.166666666667,1455.66066666667,99.2123333333333,625.917,744.733,105.6,65.9833333333333,1.73666666666667,2.93666666666667,3.79,2.30333333333333,7
" 1961:3",29.9466666666667,31.0666666666667,22.46,NA,26.7,1113.33333333333,78.4143333333333,54.2,43.3,37.236,1945.2,45550.6666666667,333.566666666667,1463.49566666667,101.710333333333,626.331,748.355333333333,107.07,66.83,1.68,3.01333333333333,3.98,2.30333333333333,6.76666666666667
" 1961:4",29.99,31.1666666666667,22.53,NA,26.7,1145.33333333333,80.641,54.8,43.9,38.5416666666667,1983.26666666667,45892.3333333333,303.9,1492.75266666667,106.779666666667,635.266666666667,761.478666666667,112.7,70.2733333333333,2.40333333333333,3.1,3.97333333333333,2.46,6.2
" 1962:1",30.1066666666667,31.2333333333333,22.67,NA,26.8,1150,81.1863333333333,55.8,44.1000000000001,39.1176666666667,2001.73333333333,46199.6666666667,296.533333333333,1508.42233333333,109.051333333333,640.703666666667,768.594666666667,112.29,69.86,2.40333333333333,3.20666666666667,4.01666666666667,2.72333333333333,5.63333333333333
" 1962:2",30.22,31.3666666666667,22.71,NA,26.9,1177,81.3356666666667,55.6,43.8,39.497,2029.06666666667,46684,298.066666666667,1526.65166666667,111.922333333333,643.871666666667,780.497333333333,100.26,62.2233333333333,2.55333333333333,3.01666666666667,3.87333333333333,2.71333333333333,5.53333333333333
" 1962:3",30.3066666666667,31.4666666666667,22.76,NA,27,1204,81.56,56.3,44.1000000000001,39.918,2046.73333333333,46831.6666666667,304.966666666667,1539.56466666667,113.01,648.683333333333,787.597,93.12,57.83,2.84666666666667,3.18333333333333,3.99,2.84,5.56666666666667
