time_Com_2525,	Mean_Com_2525,	Signal_Com_2525,	sdev_Com_2525
1960:01,	2.0937476,	2.0937405,	4.1229447E-5
1960:02,	2.0120552,	1.7563568,	0.14452729
1960:03,	1.8120408,	1.205494,	0.36984104
1960:04,	1.6310563,	1.0893354,	0.44883892
1961:01,	1.4371564,	0.86862653,	0.5102526
1961:02,	1.3184774,	0.97456104,	0.48337325
1961:03,	1.3677244,	1.5135424,	0.42600748
1961:04,	1.3463866,	1.2917295,	0.3721196
1962:01,	1.3322788,	1.2889545,	0.32215038
1962:02,	1.3479168,	1.3911407,	0.28056473
1962:03,	1.3332577,	1.2793351,	0.24585365
1962:04,	1.2919035,	1.169604,	0.2226275
1963:01,	1.2598939,	1.167122,	0.1990911
1963:02,	1.2335454,	1.1621895,	0.17419298
1963:03,	1.2413279,	1.2631747,	0.1513205
1963:04,	1.3217784,	1.573184,	0.19434538
1964:01,	1.4610064,	1.8809332,	0.29506284
1964:02,	1.4872143,	1.563346,	0.25901753
1964:03,	1.4522965,	1.3506699,	0.23218349
1964:04,	1.4245335,	1.3436894,	0.20606866
1965:01,	1.3778938,	1.2345836,	0.19763084
1965:02,	1.3927878,	1.4373964,	0.17284037
1965:03,	1.377252,	1.3326696,	0.15259047
1965:04,	1.3650975,	1.3258736,	0.13569681
1966:01,	1.3786026,	1.4213437,	0.11807086
1966:02,	1.5630212,	2.1180823,	0.33633292
1966:03,	1.8987743,	2.910391,	0.65138954
1966:04,	2.276727,	3.3867779,	0.8542607
1967:01,	2.5706,	3.4674103,	0.90348995
1967:02,	2.7302537,	3.2403424,	0.83732283
1967:03,	2.901422,	3.4033425,	0.77958345
1967:04,	3.0412347,	3.4652169,	0.7185235
1968:01,	3.3112047,	4.1016717,	0.77310926
1968:02,	3.5699544,	4.348511,	0.8091872
1968:03,	3.842979,	4.669382,	0.8464594
1968:04,	4.155499,	5.072549,	0.91058826
1969:01,	4.409981,	5.1900587,	0.900413
1969:02,	4.7425003,	5.7518096,	0.9710096
1969:03,	5.0011487,	5.7614512,	0.9431093
1969:04,	5.1746173,	5.6808634,	0.86455643
1970:01,	5.3484416,	5.858695,	0.7994913
1970:02,	5.535814,	6.0984178,	0.7627065
1970:03,	5.651242,	6.0168524,	0.6971984
1970:04,	5.8033853,	6.257185,	0.66279805
1971:01,	5.774387,	5.6925936,	0.5819682
1971:02,	5.549667,	4.890754,	0.62772834
1971:03,	5.277336,	4.44165,	0.7254314
1971:04,	4.802409,	3.3741922,	1.0358021
1972:01,	4.3993773,	3.2662313,	1.1122485
1972:02,	4.060469,	3.0060067,	1.1386698
1972:03,	3.7647517,	2.9054031,	1.101428
1972:04,	3.552552,	2.889935,	1.0277079
1973:01,	3.3643777,	2.7915807,	0.95077795
1973:02,	3.2881331,	3.0656607,	0.82712865
1973:03,	3.299626,	3.3348775,	0.7134835
1973:04,	3.5909863,	4.4712467,	0.7977949
1974:01,	4.010551,	5.2891717,	1.0046641
1974:02,	4.7293053,	6.830535,	1.5077441
1974:03,	5.8522005,	9.185869,	2.3388479
1974:04,	6.972646,	10.406936,	2.8212974
1975:01,	7.962669,	10.95156,	2.9818366
1975:02,	8.475124,	9.942823,	2.709921
1975:03,	8.32508,	7.8609605,	2.349915
1975:04,	7.918371,	6.6837234,	2.1586156
1976:01,	7.5485477,	6.43013,	1.9650148
1976:02,	7.207207,	6.216179,	1.7896723
1976:03,	7.042856,	6.5421658,	1.5855606
