Date,CPI6Mean,CPI12Mean,CPI6Med,CPI12Med,UN6Mean,UN6Med,RGDP6Mean,RGDP6Med,PRIME6Mean,PRIME6Med,TBILL3moMEAN,TBILL3moMED,SP400Mean6,SP400Med6,SP500Mean6,SP500Med6
1946:01,139.9,na,140,na,na,na,na,na,na,na,na,na,na,na,na,na
1946:02,147.07,138.68,149,139,na,na,na,na,na,na,na,na,na,na,na,na
1947:01,150,143.14,150,145,na,na,na,na,na,na,na,na,na,na,na,na
1947:02,166.42,162.73,168,165,na,na,na,na,na,na,na,na,na,na,na,na
1948:01,169.19,166.3,170,169,na,na,na,na,na,na,na,na,na,na,na,na
1948:02,171.21,168.17,171,167,na,na,na,na,na,na,na,na,na,na,na,na
1949:01,162.81,159.29,164,160,na,na,na,na,na,na,na,na,na,na,na,na
1949:02,166.77,164.21,167,165,na,na,na,na,na,na,na,na,na,na,na,na
1950:01,168.66,167.36,169,168,na,na,na,na,na,na,na,na,na,na,na,na
1950:02,179.08,183.08,179.5,183.5,na,na,na,na,na,na,na,na,na,na,na,na
1951:01,187.73,190.2,187,190.5,na,na,na,na,na,na,na,na,na,na,na,na
1951:02,189.7,191.86,189,192,na,na,na,na,na,na,na,na,na,na,na,na
1952:01,189.09,187.91,189.5,188,na,na,na,na,na,na,na,na,202.38,200,na,na
1952:02,190.71,189.12,190,189,na,na,na,na,na,na,na,na,202.5,203,na,na
1953:01,188.84,186.92,189,187,na,na,na,na,na,na,na,na,199.28,200,na,na
1953:02,114.38,113.91,114,114,na,na,na,na,na,na,na,na,191.02,190,na,na
1954:01,114.2,114.47,114,114.5,na,na,na,na,na,na,na,na,240.49,242,na,na
1954:02,114.59,114.51,115,114.7,na,na,na,na,na,na,na,na,286.15,285.5,na,na
1955:01,114.6,114.61,114.5,114.8,na,na,na,na,na,na,na,na,319.23,321,na,na
1955:02,115.47,115.58,115.5,115.6,na,na,na,na,na,na,na,na,316.95,315,na,na
1956:01,115.16,115.59,115,115.6,na,na,na,na,na,na,na,na,384.88,390,na,na
1956:02,118.83,119.19,119,119,na,na,na,na,na,na,na,na,387.25,390,na,na
1957:01,120.16,120.98,120,121,na,na,na,na,na,na,na,na,51.13,52,na,na
1957:02,121.16,121.45,121.05,122,na,na,na,na,na,na,na,na,41.78,41.25,na,na
1958:01,123.55,123.98,123.75,124,na,na,na,na,na,na,na,na,45.5,47,na,na
1958:02,124.23,124.87,124,125,na,na,na,na,na,na,na,na,56.49,58,na,na
1959:01,124.4,125.33,124.3,125,na,na,na,na,na,na,na,na,64.17,65,na,na
1959:02,126.31,127.04,126.1,127,na,na,na,na,na,na,na,na,63.8,64,na,na
1960:01,126.59,127.24,126.5,127,na,na,na,na,na,na,na,na,58.77,59,na,na
1960:02,127.47,128.27,127.5,128.2,na,na,na,na,na,na,na,na,61.08,62,na,na
1961:01,128.36,129.2,128.2,129,5.99,6,na,na,na,na,na,na,73.98,74,na,na
1961:02,129.3,130.21,129.25,130,5.72,5.5,na,na,na,na,na,na,78.57,79,na,na
1962:01,105.89,106.51,106,106.5,5.24,5.1,na,na,na,na,na,na,60.3,60,na,na
1962:02,106.7,107.36,106.7,107.3,5.65,5.6,na,na,na,na,na,na,66.68,66.5,na,na
1963:01,106.92,107.5,107,107.5,5.58,5.5,na,na,na,na,na,na,76.28,77,na,na
1963:02,107.82,108.45,107.85,108.5,5.49,5.5,na,na,na,na,na,na,78.87,80,na,na
1964:01,108.59,109.36,108.55,109.4,5.17,5.2,na,na,na,na,na,na,87.63,88,na,na
1964:02,109.43,110.09,109.4,110,5.19,5.2,na,na,na,na,na,na,91.4,92,na,na
1965:01,109.99,110.67,110,110.5,5.01,5,na,na,na,na,na,na,92.96,93,na,na
1965:02,111.55,112.56,111.5,112.5,4.2,4.2,na,na,na,na,na,na,100.59,100,na,na
1966:01,113.86,115.25,114,115,3.66,3.65,na,na,na,na,na,na,93.1,94,na,na
1966:02,116.06,117.42,116,117.5,4.06,4,na,na,na,na,na,na,87.12,90,na,na
1967:01,116.91,118.48,117,118.5,3.89,3.9,na,na,na,na,na,na,105,105,na,na
1967:02,119.52,121.35,119.5,121.35,4.08,4,na,na,na,na,na,na,105.97,105,na,na
1968:01,122.35,124.26,122.5,124,3.89,3.9,na,na,na,na,na,na,108.47,110,na,na
1968:02,125.11,127.05,125,127,4.04,4,na,na,na,na,na,na,116.29,118,na,na
1969:01,129.04,131.49,129,131.5,4.01,4,na,na,na,na,na,na,112.5,113,na,na
1969:02,132.89,135.26,133,135,4.56,4.5,na,na,na,na,na,na,105.17,107,na,na
1970:01,137.15,139.83,137.65,140.2,5.44,5.5,na,na,na,na,na,na,87.16,89,na,na
1970:02,140.65,143.52,140.7,143.5,5.76,5.8,na,na,na,na,na,na,97.71,98,na,na
1971:01,123.37,125.97,123.3,126,5.94,5.8,752.95,753,na,na,na,na,115.05,115.5,na,na
1971:02,124.86,127.05,125,127,5.59,5.5,775.14,777.15,na,na,na,na,110.47,110,na,na
1972:01,127.25,129.84,127.15,129.6,5.45,5.4,798.11,798.45,na,na,na,na,124.41,124.75,na,na
1972:02,129.31,131.75,129.45,131.8,5.05,5,830.29,831,na,na,na,na,134.83,134,na,na
1973:01,134.16,137.19,134,137,4.84,4.8,854.34,853.5,na,na,na,na,121.75,121,na,na
1973:02,141.27,145.19,141.2,145,5.63,5.5,846.93,846.9,na,na,na,na,115.12,115,na,na
1974:01,150.65,155.45,150.91,155.9,5.81,5.8,843.43,844.7,na,na,na,na,110.05,110,na,na
1974:02,160.75,166.33,160.75,166,7.34,7.4,809.16,808.95,na,na,na,na,84.41,85,na,na
1975:01,164.46,169.13,164.35,169,8.84,8.95,800.19,798.2,na,na,na,na,110.12,110,na,na
1975:02,170.95,176.24,171,176,7.89,7.9,836.48,837,na,na,na,na,108.91,110,na,na
1976:01,174.09,179.92,174.3,179.5,7.01,7,1289.53,1290,na,na,na,na,121.99,122,na,na
1976:02,179.29,184.32,179,184,7.44,7.5,1315.77,1318,na,na,na,na,121.14,124,na,na
1977:01,186.62,192.17,186.45,192.25,6.72,6.7,1354.57,1353,na,na,na,na,117.56,117.7,na,na
1977:02,191.8,198.1,192,198,6.72,6.7,1391.66,1390,na,na,na,na,110.7,110,na,na
1978:01,199.59,206.41,199.8,206.5,6.02,6,1409.46,1412,na,na,na,na,110.14,113,na,na
1978:02,210.13,217.63,210.6,218,6.3,6.3,1417.83,1417,na,na,na,na,103.83,105,na,na
1979:01,223.05,232.55,223.3,233,6.64,6.6,1422.22,1420,na,na,na,na,102.05,104,na,na
1979:02,240.38,250.92,240,250.7,7.37,7.5,1410.85,1405,na,na,na,na,119.1,122,na,na
1980:01,259.45,271.32,259.1,270.05,8.63,8.6,1398.91,1398,na,na,na,na,125.55,125,na,na
1980:02,271.39,284.58,272,284.4,7.98,8,1424.04,1425,na,na,na,na,140.63,143.5,na,na
1981:01,282.32,293.78,281.7,293,7.48,7.5,1534.65,1538,15.58,na,na,na,155.5,157.5,na,na
1981:02,292.73,303.55,293,304,8.69,8.7,1501.1,1500,13.35,15.5,na,na,129.92,130,na,na
1982:01,294.3,303.29,294,303,9.21,9.2,1511.63,1512,15.33,13.5,na,na,133.08,134,na,na
1982:02,303.16,311.78,303,311.15,10.27,10.2,1509.63,1510,10.94,15,na,na,162.86,165,na,na
1983:01,303.95,312.48,304,312,9.59,9.6,1546.3,1544.75,10.56,11,na,na,190.9,193,na,na
1983:02,312.7,321.46,312.5,321.2,8.13,8.1,1608.94,1610,10.83,10.5,na,na,195.95,195,na,na
1984:01,319.43,328.82,319.5,329,7.34,7.3,1648.49,1648,13,11,na,na,179.34,180,na,na
1984:02,323.99,332.97,323.15,331.65,7.39,7.35,1679.66,1682,11.3,13,na,na,188.81,189,na,na
1985:01,328.91,337.19,329,336.6,7.27,7.3,1705.76,1705,10.01,11.25,na,na,217.9,220,na,na
1985:02,333.04,340.57,333,340,7.07,7.1,1724.75,1724.75,9.4,9.75,na,na,234.26,235,na,na
1986:01,332.14,338.4,332,339,6.85,6.9,3713.17,3714.5,8.5,9.5,na,na,271.29,275,na,na
1986:02,337.62,344.77,337.15,344.55,6.98,7,3754.14,3755,7.26,8.5,na,na,271.48,271,na,na
1987:01,346.75,355.51,347,355,6.33,6.3,3808.86,3806,8.49,7,na,na,333.21,333,na,na
1987:02,353.84,361.86,354,362,6.19,6.1,3874.06,3884,8.59,8.5,na,na,265.53,262.5,na,na
1988:01,120.45,123.49,120.4,123.3,5.45,5.5,3990.78,3989.5,9.38,8.6,na,na,290.39,290,na,na
1988:02,123.8,126.92,123.7,126.85,5.51,5.5,4086.92,4085,10.62,9.5,na,na,301.83,305,na,na
1989:01,127.05,130.35,127,130,5.51,5.5,4126.11,4130,10.65,10.5,na,na,360.05,366,na,na
1989:02,128.79,131.43,128.8,131.5,5.68,5.6,4200.55,4203.5,9.46,10.5,na,na,333.85,338,na,na
1990:01,132.23,135.19,132.15,135.15,5.56,5.5,4257.89,4257.95,9.81,9.5,na,na,360.88,363,na,na
1990:02,136.94,139.49,136.8,139.4,6.58,6.5,4145.77,4142,9.13,9.78,na,na,na,na,318.12,320.4
1991:01,138.37,141.28,138.45,141.2,6.8,6.8,4178.47,4181,8.62,9,na,na,na,na,395.76,395.5
