time_Nbr_25_Err0p5,	Mean_Nbr_25_Err0p5,	Signal_Nbr_25_Err0p5,	sdev_Nbr_25_Err0p5
1960:01,	2.0937183,	2.0937405,	0.9429166
1960:02,	1.9962478,	1.7563568,	1.320562
1960:03,	1.7806731,	1.205494,	1.6503707
1960:04,	1.6273475,	1.0893354,	1.9359947
1961:01,	1.4854012,	0.86862653,	2.2805176
1961:02,	1.4406555,	0.97456104,	2.616186
1961:03,	1.5887005,	1.5135424,	3.029698
1961:04,	1.593245,	1.2917295,	3.4387143
1962:01,	1.605759,	1.2889545,	4.1567564
1962:02,	1.6457505,	1.3911407,	5.2510176
1962:03,	1.6410629,	1.2793351,	6.6862392
1962:04,	1.6039301,	1.169604,	8.283566
1963:01,	1.5917094,	1.167122,	10.247949
1963:02,	1.5709306,	1.1621895,	10.237253
1963:03,	1.6168318,	1.2631747,	14.042919
1963:04,	1.7082913,	1.573184,	15.328457
1964:01,	1.8106954,	1.8809332,	10.01678
1964:02,	1.7923771,	1.563346,	9.447237
1964:03,	1.69801,	1.3506699,	10.793543
1964:04,	1.6862221,	1.3436894,	13.423474
1965:01,	1.616792,	1.2345836,	13.867223
1965:02,	1.635636,	1.4373964,	14.573165
1965:03,	1.6050003,	1.3326696,	13.370299
1965:04,	1.5839739,	1.3258736,	13.637652
1966:01,	1.6033704,	1.4213437,	15.268552
1966:02,	1.8219128,	2.1180823,	19.01287
1966:03,	2.1527739,	2.910391,	19.215376
1966:04,	2.4984014,	3.3867779,	21.879734
1967:01,	2.683704,	3.4674103,	24.13521
1967:02,	2.7688332,	3.2403424,	30.979303
1967:03,	2.8656056,	3.4033425,	40.062782
1967:04,	2.8326032,	3.4652169,	30.877092
1968:01,	2.9770188,	4.1016717,	24.395395
1968:02,	3.1367295,	4.348511,	24.593737
1968:03,	3.3102825,	4.669382,	24.890533
1968:04,	3.5528324,	5.072549,	29.455376
1969:01,	3.712611,	5.1900587,	34.122547
1969:02,	3.9278576,	5.7518096,	35.027775
1969:03,	4.2152343,	5.7614512,	56.057793
1969:04,	4.254171,	5.6808634,	73.84671
1970:01,	4.3967633,	5.858695,	88.845795
1970:02,	4.2904196,	6.0984178,	93.55589
1970:03,	4.4654584,	6.0168524,	143.60577
1970:04,	5.007341,	6.257185,	232.43384
1971:01,	5.138761,	5.6925936,	275.80334
1971:02,	5.004573,	4.890754,	320.04315
1971:03,	4.6319675,	4.44165,	316.1252
1971:04,	4.8140106,	3.3741922,	504.27386
1972:01,	4.990469,	3.2662313,	670.4555
1972:02,	3.5880911,	3.0060067,	543.3981
1972:03,	2.1420927,	2.9054031,	131.39609
1972:04,	2.1484919,	2.889935,	119.38331
1973:01,	2.2504277,	2.7915807,	63.583237
1973:02,	2.333495,	3.0656607,	85.97604
1973:03,	2.6748543,	3.3348775,	117.415985
1973:04,	3.387811,	4.4712467,	143.12491
1974:01,	3.938248,	5.2891717,	146.58128
1974:02,	4.4026556,	6.830535,	123.76671
1974:03,	5.6013427,	9.185869,	157.99489
1974:04,	6.7942986,	10.406936,	224.43973
1975:01,	7.6499114,	10.95156,	302.7801
1975:02,	7.3454237,	9.942823,	387.6982
1975:03,	6.199203,	7.8609605,	286.20285
1975:04,	5.6454983,	6.6837234,	259.89328
1976:01,	5.6652474,	6.43013,	416.8395
1976:02,	4.979457,	6.216179,	301.74734
1976:03,	4.9960675,	6.5421658,	334.17365
1976:04,	4.377698,	6.208082,	156.82782
1977:01,	4.0434947,	5.985676,	132.47827
1977:02,	4.022222,	6.2378497,	97.23766
1977:03,	3.9175208,	6.031979,	74.30702
1977:04,	3.7941208,	6.00566,	100.75964
1978:01,	4.0232134,	6.121597,	40.78013
1978:02,	4.1827097,	6.543147,	54.688522
1978:03,	4.482148,	7.263573,	56.188583
1978:04,	4.890964,	8.111165,	69.34166
1979:01,	5.2393017,	8.652957,	72.43765
1979:02,	5.4588385,	8.958273,	67.455025
1979:03,	5.763217,	9.375105,	93.192604
1979:04,	6.0151014,	10.165544,	107.86969
1980:01,	6.56216,	11.504838,	89.36465
1980:02,	7.0932374,	12.466452,	97.768196
1980:03,	7.2316766,	11.395132,	75.01428
1980:04,	7.0818324,	11.475942,	117.15894
1981:01,	6.7625747,	10.16164,	117.11712
1981:02,	5.988815,	9.053799,	153.14043
1981:03,	5.351247,	7.825,	143.65886
1981:04,	5.1504803,	7.7,	121.83044
1982:01,	4.4829984,	6.625,	122.20289
1982:02,	3.9986212,	6.0375,	112.23957
1982:03,	3.954347,	5.975,	104.27
1982:04,	3.4647756,	5.5,	94.33239
1983:01,	3.0555062,	4.525,	91.280426
1983:02,	3.0280015,	4.725,	44.472576
1983:03,	2.8710535,	4.5375,	49.70925
1983:04,	3.0247238,	5.15,	32.99873
1984:01,	2.9263892,	4.8125,	52.050495
1984:02,	3.0741425,	5.3,	47.24501
1984:03,	3.1187809,	4.95,	19.307772
1984:04,	2.9251087,	4.425,	15.9728
1985:01,	2.744547,	4.125,	16.231709
1985:02,	2.7011583,	4.35,	19.748001
1985:03,	2.6728303,	4.25,	18.43707
1985:04,	2.5343297,	3.85,	23.008417
1986:01,	2.3886676,	3.5875,	22.242939
1986:02,	2.279369,	3.4125,	20.337746
1986:03,	2.207238,	3.5,	18.765245
1986:04,	2.2267559,	3.625,	21.268766
1987:01,	2.3605032,	3.9,	21.80514
1987:02,	2.5692184,	4.3625,	22.310787
1987:03,	2.6868527,	4.5,	27.90508
1987:04,	2.6667697,	4.375,	28.753765
1988:01,	2.570138,	4.2,	41.38294
1988:02,	2.7168243,	4.575,	25.698551
1988:03,	2.915262,	4.975,	26.46859
1988:04,	3.0527093,	4.9,	21.726892
1989:01,	3.077261,	4.85,	21.537964
1989:02,	3.0769446,	4.9125,	20.305956
1989:03,	2.9987628,	4.65,	15.7697935
1989:04,	2.8401344,	4.225,	13.544844
1990:01,	2.8043792,	4.35,	15.740262
1990:02,	2.7059348,	4.2,	17.224884
1990:03,	2.7133598,	4.45,	13.330147
1990:04,	2.7404768,	4.5125,	19.859755
1991:01,	2.4967878,	3.6625,	17.69122
1991:02,	2.4102488,	3.8375,	26.587898
1991:03,	2.3713562,	3.7725,	27.298859
1991:04,	2.3091385,	3.55,	16.567839
1992:01,	2.2135568,	3.4,	20.490215
1992:02,	2.1633942,	3.525,	21.282995
1992:03,	2.0914075,	3.325,	27.70828
1992:04,	2.0382884,	3.25,	25.331104
1993:01,	1.9897952,	3.2125,	23.65068
1993:02,	1.996482,	3.375,	21.603046
1993:03,	2.0410628,	3.3,	24.306381
1993:04,	1.9695386,	3.03,	15.983903
1994:01,	1.9885776,	3.2,	21.54874
1994:02,	2.0259073,	3.275,	27.003185
1994:03,	2.0225177,	3.325,	12.270981
1994:04,	2.0644028,	3.425,	7.261704
1995:01,	2.0902457,	3.4125,	10.336039
1995:02,	2.1472967,	3.525,	17.53998
1995:03,	2.0983984,	3.275,	15.0196705
1995:04,	1.9858215,	2.95,	20.215569
1996:01,	1.8674804,	2.775,	21.775005
1996:02,	1.845735,	2.875,	28.52486
1996:03,	1.8172412,	3.0025,	4.1045895
1996:04,	1.8414036,	3.025,	5.289702
1997:01,	1.8704953,	3.0625,	8.3829975
1997:02,	1.8656662,	3.0,	11.885182
1997:03,	1.8232584,	2.85,	12.204096
1997:04,	1.7464962,	2.6,	24.113014
1998:01,	1.5845777,	2.2625,	20.12213
1998:02,	1.5807341,	2.45,	31.19444
1998:03,	1.5599519,	2.475,	22.664476
1998:04,	1.5378687,	2.3125,	35.174873
1999:01,	1.5077971,	2.175,	53.1222
1999:02,	1.4352075,	2.2,	32.034405
1999:03,	1.5383371,	2.3775,	62.81678
1999:04,	1.6367141,	2.525,	76.25495
2000:01,	1.6156465,	2.4625,	56.338806
2000:02,	1.637308,	2.605,	44.928204
2000:03,	1.6922382,	2.7125,	45.48694
2000:04,	1.7375647,	2.675,	57.00653
2001:01,	1.804026,	2.4875,	112.86723
2001:02,	1.7599287,	2.5125,	102.124245
