time_Ran_2525_10,	Mean_Ran_2525_10,	Signal_Ran_2525_10,	sdev_Ran_2525_10
1960:01,	2.0937476,	2.0937405,	4.1602416E-5
1960:02,	2.0075364,	1.7563568,	0.14715277
1960:03,	1.7967789,	1.205494,	0.3665679
1960:04,	1.5915773,	1.0893354,	0.4416166
1961:01,	1.3942766,	0.86862653,	0.4894561
1961:02,	1.27262,	0.97456104,	0.4587629
1961:03,	1.3201071,	1.5135424,	0.40663505
1961:04,	1.3197718,	1.2917295,	0.34509635
1962:01,	1.305986,	1.2889545,	0.28997457
1962:02,	1.3261478,	1.3911407,	0.24827382
1962:03,	1.3164065,	1.2793351,	0.20955391
1962:04,	1.2767669,	1.169604,	0.18481565
1963:01,	1.2470179,	1.167122,	0.16595615
1963:02,	1.2236682,	1.1621895,	0.14486545
1963:03,	1.2321681,	1.2631747,	0.12565745
1963:04,	1.3139907,	1.573184,	0.17990333
1964:01,	1.4671959,	1.8809332,	0.28919515
1964:02,	1.5069565,	1.563346,	0.25924554
1964:03,	1.468399,	1.3506699,	0.22958747
1964:04,	1.4333715,	1.3436894,	0.20194504
1965:01,	1.3815699,	1.2345836,	0.19143961
1965:02,	1.3882562,	1.4373964,	0.16414785
1965:03,	1.3768463,	1.3326696,	0.14219822
1965:04,	1.362312,	1.3258736,	0.122577995
1966:01,	1.3756641,	1.4213437,	0.10652036
1966:02,	1.5602827,	2.1180823,	0.3312569
1966:03,	1.9156497,	2.910391,	0.64245623
1966:04,	2.321806,	3.3867779,	0.8420716
1967:01,	2.636952,	3.4674103,	0.88059837
1967:02,	2.8201005,	3.2403424,	0.797357
1967:03,	2.9761548,	3.4033425,	0.72394586
1967:04,	3.1158059,	3.4652169,	0.6472126
1968:01,	3.3754423,	4.1016717,	0.6960009
1968:02,	3.6518114,	4.348511,	0.7238229
1968:03,	3.9375477,	4.669382,	0.75343955
1968:04,	4.249539,	5.072549,	0.8097616
1969:01,	4.5199018,	5.1900587,	0.7957365
1969:02,	4.8642454,	5.7518096,	0.85938746
1969:03,	5.13352,	5.7614512,	0.8258121
1969:04,	5.2894835,	5.6808634,	0.7457892
1970:01,	5.4443655,	5.858695,	0.67818
1970:02,	5.617016,	6.0984178,	0.64880127
1970:03,	5.7434344,	6.0168524,	0.5618162
1970:04,	5.885614,	6.257185,	0.5288068
1971:01,	5.850061,	5.6925936,	0.46325994
1971:02,	5.613563,	4.890754,	0.5647094
1971:03,	5.29105,	4.44165,	0.6973075
1971:04,	4.7770686,	3.3741922,	1.0205438
1972:01,	4.344955,	3.2662313,	1.0961778
1972:02,	3.9648724,	3.0060067,	1.0970128
1972:03,	3.6691527,	2.9054031,	1.042997
1972:04,	3.4372125,	2.889935,	0.9432856
1973:01,	3.2604926,	2.7915807,	0.85291386
1973:02,	3.1899323,	3.0656607,	0.7207811
1973:03,	3.22106,	3.3348775,	0.6119489
1973:04,	3.5318918,	4.4712467,	0.74224204
1974:01,	4.004967,	5.2891717,	0.9879206
1974:02,	4.7604103,	6.830535,	1.4779197
1974:03,	5.927524,	9.185869,	2.2739289
1974:04,	7.197739,	10.406936,	2.7437901
1975:01,	8.235324,	10.95156,	2.8510468
1975:02,	8.765323,	9.942823,	2.5496469
1975:03,	8.602525,	7.8609605,	2.191999
1975:04,	8.113829,	6.6837234,	2.0309591
1976:01,	7.628441,	6.43013,	1.8796047
1976:02,	7.2421327,	6.216179,	1.7260548
1976:03,	7.019582,	6.5421658,	1.4935915
1976:04,	6.783131,	6.208082,	1.2874804
1977:01,	6.564014,	5.985676,	1.1478486
1977:02,	6.4610624,	6.2378497,	0.99466366
1977:03,	6.3560824,	6.031979,	0.8783312
1977:04,	6.254583,	6.00566,	0.760096
1978:01,	6.210718,	6.121597,	0.6480977
1978:02,	6.288571,	6.543147,	0.56743264
1978:03,	6.5348954,	7.263573,	0.62849075
1978:04,	6.9556274,	8.111165,	0.86221015
1979:01,	7.414403,	8.652957,	1.0416644
1979:02,	7.847338,	8.958273,	1.113209
1979:03,	8.281887,	9.375105,	1.1512688
1979:04,	8.776329,	10.165544,	1.2751206
1980:01,	9.509285,	11.504838,	1.6042964
1980:02,	10.321831,	12.466452,	1.8813456
1980:03,	10.659631,	11.395132,	1.688461
1980:04,	10.878352,	11.475942,	1.4796448
1981:01,	10.720324,	10.16164,	1.2907605
1981:02,	10.29152,	9.053799,	1.3043483
1981:03,	9.630408,	7.825,	1.5336658
1981:04,	9.098871,	7.7,	1.5639927
1982:01,	8.430312,	6.625,	1.7001548
1982:02,	7.752279,	6.0375,	1.7858771
1982:03,	7.2385874,	5.975,	1.7080463
1982:04,	6.7728267,	5.5,	1.6448711
1983:01,	6.158363,	4.525,	1.6995759
1983:02,	5.7355013,	4.725,	1.585639
1983:03,	5.3724833,	4.5375,	1.414916
1983:04,	5.2972026,	5.15,	1.2209852
1984:01,	5.171506,	4.8125,	1.054869
1984:02,	5.1857076,	5.3,	0.8901066
1984:03,	5.133001,	4.95,	0.76283956
1984:04,	4.9457455,	4.425,	0.69939774
1985:01,	4.71486,	4.125,	0.6879389
1985:02,	4.5967956,	4.35,	0.60358673
1985:03,	4.4990997,	4.25,	0.5284858
1985:04,	4.3267474,	3.85,	0.5208439
1986:01,	4.126036,	3.5875,	0.54531693
1986:02,	3.9241395,	3.4125,	0.549252
1986:03,	3.7986634,	3.5,	0.5019427
1986:04,	3.7453406,	3.625,	0.4350096
1987:01,	3.7796733,	3.9,	0.37499836
1987:02,	3.9328215,	4.3625,	0.4020782
1987:03,	4.087609,	4.5,	0.4215287
1987:04,	4.1729794,	4.375,	0.38240498
1988:01,	4.1894445,	4.2,	0.32060656
1988:02,	4.2898273,	4.575,	0.31526902
1988:03,	4.472837,	4.975,	0.39684755
1988:04,	4.597632,	4.9,	0.3916226
1989:01,	4.672578,	4.85,	0.34975854
1989:02,	4.736217,	4.9125,	0.31421515
1989:03,	4.722735,	4.65,	0.26795676
1989:04,	4.593576,	4.225,	0.3120152
1990:01,	4.516309,	4.35,	0.2874416
1990:02,	4.429049,	4.2,	0.27893206
1990:03,	4.427874,	4.45,	0.24058008
1990:04,	4.4485545,	4.5125,	0.20869105
1991:01,	4.251238,	3.6625,	0.3858665
1991:02,	4.1301665,	3.8375,	0.38369942
1991:03,	4.030032,	3.7725,	0.36108688
1991:04,	3.8969355,	3.55,	0.36809716
1992:01,	3.7593923,	3.4,	0.3782719
1992:02,	3.688723,	3.525,	0.34107295
1992:03,	3.5906882,	3.325,	0.32765597
1992:04,	3.4973195,	3.25,	0.3154541
1993:01,	3.417125,	3.2125,	0.29524648
1993:02,	3.3970215,	3.375,	0.25009578
