Date,MICHINF,MICHINTDK,MICHINTDOWN,MICHINTREL,MICHINTSAME,MICHINTUP,MICHUNDK,MICHUNLESS,MICHUNMORE,MICHUNREL,MICHUNSAME,MICHINFMED
1978:01,5.6,6,9,55,31,54,2,20,30,90,48,5.2
1978:02,7.8,14,6,58,32,48,5,30,24,106,41,6.4
1978:03,6.9,7,4,49,34,55,3,14,31,83,52,6.3
1978:04,7.7,6,4,43,29,61,2,17,25,92,56,6.7
1978:05,8.2,7,7,50,29,57,6,23,26,97,45,6.9
1978:06,7.4,3,5,41,28,64,2,8,39,69,51,6.5
1978:07,7.1,5,6,40,23,66,3,12,32,80,53,6.6
1978:08,9.7,6,9,50,26,59,3,16,33,83,48,8.7
1978:09,7.9,5,5,38,23,67,2,15,31,84,52,6.9
1978:10,7.5,5,6,43,26,63,3,12,30,82,55,7.4
1978:11,8.9,5,6,35,18,71,5,16,35,81,44,7.5
1978:12,7.9,6,6,39,21,67,5,7,46,61,42,7.3
1979:01,9.3,4,7,38,20,69,4,10,41,69,45,7.8
1979:02,10.7,6,13,59,27,54,2,14,34,80,50,9.3
1979:03,9.7,5,7,42,23,65,4,9,41,68,46,8.8
1979:04,10.7,4,8,44,24,64,4,11,45,66,40,9.7
1979:05,11.4,5,7,46,27,61,5,9,40,69,46,9.8
1979:06,11.3,4,8,42,22,66,3,6,52,54,39,9.9
1979:07,10.8,4,12,52,24,60,2,6,62,44,30,9.9
1979:08,10.4,5,8,47,26,61,1,7,62,45,30,9.9
1979:09,9.7,3,7,37,20,70,2,7,55,52,36,9.6
1979:10,8.9,3,7,37,20,70,2,7,55,52,36,9
1979:11,11.2,3,15,53,20,62,2,8,54,54,36,10
1979:12,10.8,4,34,94,22,40,1,8,61,47,30,9.9
1980:01,13.1,4,21,76,30,45,3,9,54,55,34,10.4
1980:02,10.7,3,21,74,29,47,3,13,46,67,38,10
1980:03,12,3,10,39,16,71,1,7,57,50,35,10.2
1980:04,11.1,2,24,68,18,56,2,7,62,45,29,10.1
1980:05,8.2,2,52,126,20,26,0,5,72,33,23,8.6
1980:06,8,3,54,133,22,21,1,11,63,48,25,8.5
1980:07,9,4,44,123,31,21,0,11,59,52,30,9.6
1980:08,8,5,26,87,30,39,3,19,40,79,38,7.6
1980:09,8.5,4,18,65,25,53,2,22,40,82,36,9.1
1980:10,9.2,8,17,68,26,49,3,21,30,91,46,9.6
1980:11,8.7,5,22,71,22,51,3,26,24,102,47,8.6
1980:12,10.1,4,29,76,14,53,4,16,39,77,41,9.7
1981:01,7.8,7,44,115,20,29,2,19,38,81,41,9.5
1981:02,8.3,8,37,106,24,31,2,16,40,76,42,8.6
1981:03,7,4,41,112,26,29,3,13,41,72,43,7.2
1981:04,8.1,4,38,107,27,31,2,17,40,77,41,8
1981:05,7.6,3,26,85,30,41,1,17,36,81,46,7.3
1981:06,6.7,5,30,92,27,38,2,18,36,82,44,7.1
1981:07,6.7,5,29,91,28,38,2,18,36,82,44,6.8
1981:08,6.8,3,26,89,34,37,3,14,36,78,47,5.8
1981:09,7.5,4,30,97,33,33,1,15,39,76,45,6.9
1981:10,7.3,4,35,104,30,31,1,11,50,61,38,6.7
1981:11,7.6,4,42,113,25,29,2,11,54,57,33,7.3
1981:12,5.7,4,50,129,25,21,2,11,59,52,28,5.3
1982:01,5.6,4,43,118,28,25,1,16,49,67,34,5.1
1982:02,5.5,4,29,95,33,34,2,13,52,61,33,5.2
1982:03,6,3,39,114,33,25,1,13,54,59,32,4.2
1982:04,5.4,3,42,120,33,22,2,14,50,64,34,4.7
1982:05,5,4,43,124,34,19,1,17,47,70,35,3.5
