Date,MICHINF,MICHINTDK,MICHINTDOWN,MICHINTREL,MICHINTSAME,MICHINTUP,MICHUNDK,MICHUNLESS,MICHUNMORE,MICHUNREL,MICHUNSAME
1960:1,1.7,na,na,na,na,na,na,na,na,na,na
1960:2,1.6,na,na,na,na,na,na,na,na,na,na
1960:3,1.4,na,na,na,na,na,na,na,na,na,na
1960:4,1.2,na,na,na,na,na,12,22,10,110,56
1961:1,1.9,na,na,na,na,na,10,32,10,122,49
1961:2,1.9,na,na,na,na,na,8,42,9,133,41
1961:3,1.9,na,na,na,na,na,8,35,11,124,47
1961:4,1.9,na,na,na,na,na,7,27,13,114,53
1962:1,2.3,na,na,na,na,na,8,25,15,111,53
1962:2,1.9,na,na,na,na,na,9,23,16,107,52
1962:3,1.7,na,na,na,na,na,7,18,21,97,54
1962:4,1.9,na,na,na,na,na,8,23,14,109,55
1963:1,2.5,na,na,na,na,na,6,23,22,101,49
1963:2,2.4,na,na,na,na,na,6,18,19,99,57
1963:3,2.4,na,na,na,na,na,8,19,20,99,53
1963:4,2.3,na,na,na,na,na,8,17,19,98,56
1964:1,2.5,na,na,na,na,na,6,20,30,90,44
1964:2,2.5,na,na,na,na,na,9,20,21,99,50
1964:3,2.5,na,na,na,na,na,8,23,22,102,47
1964:4,2.5,na,na,na,na,na,6,27,22,104,45
1965:1,2.5,na,na,na,na,na,5,30,23,107,42
1965:2,2.6,na,na,na,na,na,6,33,19,115,43
1965:3,2.7,na,na,na,na,na,7,36,14,122,43
1965:4,2.7,na,na,na,na,na,5,33,13,120,49
1966:1,2.6,na,na,na,na,na,5,44,11,133,40
1966:2,3.9,na,na,na,na,na,5,29,15,114,51
1966:3,4.8,na,na,na,na,na,6,23,15,108,56
1966:4,4.4,na,na,na,na,na,9,20,20,100,51
1967:1,3.9,na,na,na,na,na,4,20,19,101,57
1967:2,4.3,na,na,na,na,na,4,22,19,104,56
1967:3,4.7,na,na,na,na,na,4,24,18,106,54
1967:4,5.1,na,na,na,na,na,4,24,19,105,53
1968:1,4.8,na,na,na,na,na,4,25,20,105,51
1968:2,4.5,na,na,na,na,na,4,25,21,104,50
1968:3,5.1,na,na,na,na,na,5,17,19,98,59
1968:4,3.9,na,na,na,na,na,5,17,23,94,56
1969:1,4.5,16,5,65,39,40,4,16,27,89,53
1969:2,5.5,10,5,44,24,61,4,15,29,86,52
1969:3,5.5,14,11,72,36,39,3,15,35,80,47
1969:4,4.1,12,17,77,31,40,3,11,52,59,34
1970:1,5.5,13,18,85,36,33,3,8,60,48,29
1970:2,6.1,15,31,109,32,22,4,10,56,54,30
1970:3,4.3,12,25,102,40,23,2,12,50,62,36
