Date,Pct25,Median,Pct75,Range,Mean,Variance
1978:01,3,5.2,7.8,4.8,6.1,31
1978:02,4.1,6.4,10,5.9,8.5,72
1978:03,3.3,6.3,9.7,6.3,7.5,51
1978:04,4.7,6.7,9.5,4.8,8,56
1978:05,3.3,6.9,10.1,6.8,8.9,92
1978:06,3.8,6.5,9.8,6.1,8,63
1978:07,3.5,6.6,9.9,6.4,7.6,53
1978:08,4.7,8.7,11.7,7,10.5,102
1978:09,4.6,6.9,10,5.4,8.5,68
1978:10,4.9,7.4,10,5.1,7.9,37
1978:11,4.9,7.5,10.3,5.4,9.6,83
1978:12,4.8,7.3,10,5.2,8.3,50
1979:01,5.2,7.8,10.3,5.1,9.7,84
1979:02,5.2,9.3,12.6,7.4,11.4,117
1979:03,4.9,8.8,11.3,6.4,10,76
1979:04,5.2,9.7,12.9,7.7,11.1,84
1979:05,5.4,9.8,13.3,7.9,12,109
1979:06,5.5,9.9,14.6,9.1,12,111
1979:07,5.3,9.9,14.6,9.3,11.5,95
1979:08,5.2,9.9,13.3,8.1,11.2,88
1979:09,5,9.6,12.5,7.4,10.4,87
1979:10,4.9,9,11.6,6.7,9.5,68
1979:11,6.2,10,13.5,7.3,11.9,106
1979:12,5.5,9.9,13.5,8,11.7,100
1980:01,6.8,10.4,15.6,8.8,13.8,131
1980:02,5.4,10,13.4,8,11.2,80
1980:03,5.5,10.2,15.5,10,12.7,122
1980:04,5.2,10.1,15.2,10,12,133
1980:05,3.5,8.6,13.4,9.8,9.5,105
1980:06,3.1,8.5,12.6,9.5,9,99
1980:07,4.6,9.6,12.8,8.2,10,103
1980:08,3.5,7.6,11.1,7.7,8.8,76
1980:09,4.7,9.1,12,7.3,9.3,66
1980:10,4.6,9.6,12.7,8.1,10,107
1980:11,4.5,8.6,12.5,8,9.8,113
1980:12,4.9,9.7,13.2,8.2,10.9,110
1981:01,4.7,9.5,11.3,6.6,8.6,56
1981:02,3.5,8.6,11.9,8.5,9.1,76
1981:03,3.3,7.2,10.3,7.1,7.9,62
1981:04,3,8,11.8,8.8,9.3,108
1981:05,3.4,7.3,10.5,7.1,8.6,88
1981:06,2.6,7.1,10.3,7.6,7.8,60
1981:07,2.9,6.8,10.2,7.3,7.7,82
1981:08,2.5,5.8,10.3,7.8,7.7,65
1981:09,2.8,6.9,10.4,7.7,8.7,105
1981:10,3.2,6.7,10.3,7.1,8.3,73
1981:11,3.2,7.3,10.4,7.2,8.8,92
1981:12,1.6,5.3,9.8,8.2,6.5,69
1982:01,1.5,5.1,9.7,8.2,6.4,60
1982:02,1.3,5.2,9.8,8.5,6.4,57
