Date,qdlcpispfa_tm1,qdlcpispfa_t,qdlcpispfa_tp1,qdlcpispfa_tp2,qdlcpispfa_tp3,qdlcpispfa_tp4,qdlcpispfathisyr,qdlcpispfanextyr
1981:3,7.71,9.22,7.93,7.76,7.61,7.72,9.66,8.02
1981:4,10.73,8.95,7.76,7.56,7.71,7.93,9.93,8.75
1982:1,6.36,5.51,6.08,6.57,6.37,6.48,7.09,6.77
1982:2,3.54,3.69,5.77,5.87,5.87,5.54,5.55,5.48
1982:3,5.33,7.12,5.4,5.7,5.68,5.95,6.24,6.02
1982:4,7.28,3.97,5.28,5.53,5.54,5.67,6.23,5.44
1983:1,1.72,2.56,3.86,4.15,4.39,4.24,4.03,4.65
1983:2,-0.25,3.66,4.17,4.41,4.55,4.48,3.12,4.67
1983:3,3.82,4.01,4.4,4.17,4.29,4.42,3.41,4.6
1983:4,4.42,4.83,4.76,4.76,4.98,5.17,3.4,4.8
1984:1,3.86,3.8,3.99,4.41,4.5,4.48,4.41,4.88
1984:2,4.25,4.27,4.64,4.98,5.13,5.3,4.48,5.33
1984:3,3.7,3.68,4.48,5,5.28,5.47,4.19,4.91
1984:4,3.8,3.98,4.25,4.26,4.63,4.87,4.2,4.4
1985:1,3.24,3.24,3.61,3.88,4.17,4.42,3.85,3.56
1985:2,3.2,4.04,4.03,4.24,4.54,4.65,3.72,4.4
1985:3,4.06,3.52,3.93,4.3,4.53,4.67,3.66,4.2
1985:4,2.57,3.17,3.57,3.73,3.91,4.11,3.39,3.69
1986:1,3.88,3.09,3.13,3.46,3.8,4.15,3.45,3.28
1986:2,1.16,-0.22,2.2,3.24,3.69,3.74,2.04,3.4
1986:3,-0.57,2.78,3.42,3.28,3.34,3.53,2.23,3.2
1986:4,2.73,3.04,3.29,3.49,3.72,3.89,2.25,3.27
1987:1,2.52,3.34,3.5,3.69,3.81,3.74,3.2,3.97
1987:2,4.64,4.35,4.25,4.29,4.34,4.41,3.95,4.36
1987:3,4.7,4.23,4.38,4.6,4.65,4.67,3.92,4.5
1987:4,4.04,4.14,4.29,4.12,4.28,4.52,3.89,4.29
1988:1,3.57,3.97,4.14,4.28,4.33,4.71,4.12,4.65
1988:2,3.22,4.26,4.43,4.57,4.77,4.78,4.13,4.92
