Date,qdlcpispfm_tm1,qdlcpispfm_t,qdlcpispfm_tp1,qdlcpispfm_tp2,qdlcpispfm_tp3,qdlcpispfm_tp4,qdlcpispfmthisyr,qdlcpispfmnextyr
1981:3,7.5,9.35,8,7.95,7.55,7.8,10,7.9
1981:4,11.7,9.6,7.8,7.5,7.5,8,10.5,8.5
1982:1,7.5,6,6.3,6.7,6.8,6.7,7,6.8
1982:2,3.2,3.4,5.9,6,6.25,6,5.7,5.9
1982:3,4.7,7.5,5.8,6.1,6,6,6.3,6.2
1982:4,7.6,4,5,5.5,5.5,6,6.2,5.25
1983:1,2.6,2.9,4.2,4.3,4.6,5,4.2,5.25
1983:2,-0.4,4,4.5,4.6,4.9,4.9,3.2,4.9
1983:3,4.2,4.5,4.55,4.6,4.5,4.5,3.2,4.5
1983:4,4.7,5,5,5,5.1,5.5,3.3,5
1984:1,4.1,4.2,4.4,4.85,4.8,5.2,4.5,5.5
1984:2,4.8,4.4,5,5.25,5.3,5.65,4.6,5.6
1984:3,3.7,3.7,4.4,4.9,5.2,5.3,4.3,4.75
1984:4,3.6,4,4.1,4.3,4.6,4.7,4.3,4.3
1985:1,3.1,3.35,3.6,4,4.2,4.7,4.2,3.6
1985:2,3.2,4,4,4.3,4.65,4.45,3.7,4.3
1985:3,4.2,3.5,3.9,4.2,4.4,4.5,3.7,4.1
1985:4,2.4,3.2,3.5,3.7,4,4.2,3.4,3.6
1986:1,4.1,3.2,3.2,3.5,3.65,4,3.5,3.3
1986:2,1.4,-0.6,2.6,3.4,3.7,3.95,2,3.3
1986:3,-1.7,2.9,3.3,3.5,3.5,3.7,2,3.3
1986:4,2.6,3.05,3.35,3.5,3.75,3.9,2,3.3
1987:1,2.8,3.3,3.5,4,4.1,4,3.3,4
1987:2,5.3,4.25,4.35,4.4,4.25,4.45,3.8,4.5
1987:3,4.9,4,4.3,4.6,4.5,4.6,3.7,4.5
1987:4,4,4.2,4.5,4.2,4.3,4.5,3.7,4.2
1988:1,3.6,3.7,3.95,4.05,4.2,4.6,4,4.4
1988:2,3.2,4.15,4.35,4.6,4.65,4.7,4,4.8
1988:3,4.8,4.8,4.9,5,5.1,4.9,4.2,5
1988:4,4.8,5,4.85,4.85,4.9,5,4.15,5
1989:1,4.3,4.6,5,4.85,4.85,4.7,4.8,4.6
1989:2,5.4,5.9,5.05,5,5,4.6,5.2,4.8
1989:3,6.4,4.35,4.6,4.7,4.65,4.65,5.1,4.65
1989:4,2.6,4,4.2,4.2,4.2,4.3,4.8,4.2
1990:1,4,4.9,4.3,4.2,4.4,4.5,4.8,4.3
