Dates,pgdpspfa_tm1,pgdpspfa_t,pgdpspfa_tp1,pgdpspfa_tp2,pgdpspfa_tp3,pgdpspfa_tp4,pgdpspfaThisYear,pgdpspfaNextYear
1968:4,122,123.33,124.29,125.17,126.01,126.87,-999,-999
1969:1,123.54,124.72,125.52,126.46,127.28,-999,-999,-999
1969:2,125,125.93,126.98,127.81,128.64,-999,-999,-999
1969:3,127,128.48,129.59,130.64,131.52,-999,-999,-999
1969:4,129.02,130.53,131.84,133.04,134.19,135.26,-999,-999
1970:1,130.69,132.05,133.24,134.43,135.47,-999,-999,-999
1970:2,132.08,133.67,135.06,136.35,137.5,138.65,-999,-999
1970:3,134,135.09,136.29,137.41,138.46,139.51,-999,-999
1970:4,135.53,136.86,138.1,139.3,140.5,141.63,-999,-999
1971:1,137.36,138.71,139.98,141.31,142.51,143.64,-999,-999
1971:2,139.18,140.51,141.82,143,144.33,145.51,-999,-999
1971:3,142.59,143.54,144.71,145.86,147.02,148.2,-999,-999
1971:4,142.28,143.35,144.53,145.76,146.97,148.16,-999,-999
1972:1,142.72,144.08,145.3,146.49,147.75,149.11,-999,-999
1972:2,144.96,146.24,147.47,148.73,150.07,151.36,-999,-999
1972:3,145.53,146.8,148.08,149.48,150.75,152.08,-999,-999
1972:4,146.21,147.31,148.7,149.9,151.21,152.52,-999,-999
1973:1,147.21,148.84,150.18,151.54,152.88,154.33,-999,-999
1973:2,149.39,151.21,152.83,154.4,155.92,157.17,-999,-999
1973:3,154.39,156.45,158.32,159.94,161.58,162.92,-999,-999
1973:4,155.13,157.48,159.75,161.93,163.9,165.81,-999,-999
1974:1,158,160.91,163.67,166.14,168.26,170.04,-999,-999
1974:2,162.51,165.79,168.61,171.11,173.49,175.67,-999,-999
1974:3,167.07,170.58,173.84,176.71,179.52,-999,-999,-999
1974:4,172.05,176.33,180.03,183.37,186.43,189.29,-999,-999
1975:1,177.69,181.7,185.32,188.54,191.34,193.82,-999,-999
1975:2,181.41,184.17,187.02,189.86,192.56,195.11,-999,-999
1975:3,183.92,186.75,189.48,192.22,195.04,197.9,-999,-999
1975:4,186.16,189.3,192.1,194.96,197.92,200.97,-999,-999
1976:1,129.22,130.98,133.04,135.18,137.46,139.48,-999,-999
1976:2,130.54,132.4,134.41,136.54,138.7,140.94,-999,-999
1976:3,132.78,134.55,136.54,138.47,140.46,142.51,-999,-999
1976:4,134.36,136.21,138.05,139.99,141.85,143.86,-999,-999
1977:1,136.31,138.22,140.07,141.84,143.84,145.73,-999,-999
1977:2,138.07,140.48,142.52,144.89,147.02,149.12,-999,-999
1977:3,140.38,142.59,144.97,147.15,149.47,151.81,-999,-999
1977:4,142.3,144.43,146.53,148.53,150.72,153.06,-999,-999
1978:1,144.3,146.59,148.66,150.83,153.45,155.33,-999,-999
1978:2,146.74,149.12,151.51,154.07,156.51,159.01,-999,-999
1978:3,150.67,153.66,156.84,160.05,163.07,165.78,-999,-999
1978:4,153.68,156.61,159.41,162.34,165.08,167.87,-999,-999
1979:1,156.45,159.67,162.69,165.65,168.58,171.47,-999,-999
1979:2,159.88,163.25,166.6,169.74,172.55,175.93,-999,-999
1979:3,163.96,167.72,171.44,174.96,178.51,181.83,-999,-999
1979:4,167.1,171.11,174.32,177.88,181.47,184.7,-999,-999
1980:1,170.91,174.79,178.52,182.37,186.06,189.97,-999,-999
1980:2,174.48,178.56,182.48,186.31,189.97,193.96,-999,-999
1980:3,178.85,182.57,186.38,189.92,193.55,197.13,-999,-999
1980:4,183.03,187.26,191.75,195.71,199.68,203.82,-999,-999
1981:1,183.95,188.26,192.54,196.85,201.25,204.88,-999,-999
1981:2,187.75,191.76,195.79,200.09,204.07,208.14,-999,-999
1981:3,191.1,194.44,198.02,201.79,205.27,209.37,193.09,207.84
1981:4,195.29,199.13,203.05,206.51,210.24,214.06,193.54,208.54
1982:1,199.77,202.76,205.91,209.27,212.81,216.39,207.64,221.46
