time_Com_2030,	Mean_Com_2030,	Signal_Com_2030,	sdev_Com_2030
1960:01,	2.0937479,	2.0937405,	4.171439E-5
1960:02,	2.0085514,	1.7563568,	0.14658107
1960:03,	1.805625,	1.205494,	0.37139386
1960:04,	1.6211941,	1.0893354,	0.4467138
1961:01,	1.4373368,	0.86862653,	0.50666076
1961:02,	1.3229489,	0.97456104,	0.48416507
1961:03,	1.374298,	1.5135424,	0.42662528
1961:04,	1.3559676,	1.2917295,	0.36987385
1962:01,	1.3431383,	1.2889545,	0.32511804
1962:02,	1.3569657,	1.3911407,	0.2845491
1962:03,	1.3371179,	1.2793351,	0.25165582
1962:04,	1.295157,	1.169604,	0.22933014
1963:01,	1.2632258,	1.167122,	0.20767133
1963:02,	1.2397621,	1.1621895,	0.18871555
1963:03,	1.245047,	1.2631747,	0.16412981
1963:04,	1.3278774,	1.573184,	0.20208934
1964:01,	1.4625549,	1.8809332,	0.2967212
1964:02,	1.4881686,	1.563346,	0.26101223
1964:03,	1.4524481,	1.3506699,	0.23330463
1964:04,	1.4254829,	1.3436894,	0.20785171
1965:01,	1.3777937,	1.2345836,	0.19856785
1965:02,	1.3922901,	1.4373964,	0.17342617
1965:03,	1.3782644,	1.3326696,	0.15363581
1965:04,	1.3647608,	1.3258736,	0.13498166
1966:01,	1.3792425,	1.4213437,	0.12025131
1966:02,	1.5605872,	2.1180823,	0.3340553
1966:03,	1.9057825,	2.910391,	0.6561633
1966:04,	2.2810595,	3.3867779,	0.8589559
1967:01,	2.567502,	3.4674103,	0.90571266
1967:02,	2.7311144,	3.2403424,	0.83631766
1967:03,	2.8883958,	3.4033425,	0.78937286
1967:04,	3.0301354,	3.4652169,	0.72917134
1968:01,	3.291882,	4.1016717,	0.78561234
1968:02,	3.5522199,	4.348511,	0.8245878
1968:03,	3.8270152,	4.669382,	0.8707427
1968:04,	4.1415815,	5.072549,	0.9296505
1969:01,	4.3964157,	5.1900587,	0.929574
1969:02,	4.7375045,	5.7518096,	0.99960214
1969:03,	4.9960923,	5.7614512,	0.9669455
1969:04,	5.1722727,	5.6808634,	0.88139343
1970:01,	5.3363442,	5.858695,	0.83078575
1970:02,	5.5234857,	6.0984178,	0.7983931
1970:03,	5.648351,	6.0168524,	0.7268702
1970:04,	5.797446,	6.257185,	0.6910617
1971:01,	5.7683353,	5.6925936,	0.5984707
1971:02,	5.551808,	4.890754,	0.64123195
1971:03,	5.262812,	4.44165,	0.7425879
1971:04,	4.789358,	3.3741922,	1.0453979
1972:01,	4.4128256,	3.2662313,	1.1240097
1972:02,	4.058407,	3.0060067,	1.1490206
1972:03,	3.7816036,	2.9054031,	1.1173223
1972:04,	3.5706937,	2.889935,	1.0477575
1973:01,	3.3781078,	2.7915807,	0.9711736
1973:02,	3.3025308,	3.0656607,	0.8557
1973:03,	3.3157766,	3.3348775,	0.750015
1973:04,	3.6102538,	4.4712467,	0.8249049
1974:01,	4.022909,	5.2891717,	1.019155
1974:02,	4.70977,	6.830535,	1.4984046
1974:03,	5.808799,	9.185869,	2.3363369
1974:04,	6.9763913,	10.406936,	2.8449965
1975:01,	7.9757023,	10.95156,	3.0054934
1975:02,	8.457869,	9.942823,	2.7457159
1975:03,	8.311184,	7.8609605,	2.3916512
1975:04,	7.9009767,	6.6837234,	2.1916401
1976:01,	7.5359764,	6.43013,	2.0161686
1976:02,	7.2006626,	6.216179,	1.8441201
1976:03,	7.0292954,	6.5421658,	1.6203287
1976:04,	6.823161,	6.208082,	1.4558094
1977:01,	6.6221232,	5.985676,	1.32205
1977:02,	6.5186653,	6.2378497,	1.1611382
1977:03,	6.3846974,	6.031979,	1.0182498
1977:04,	6.2926517,	6.00566,	0.9007743
1978:01,	6.2556143,	6.121597,	0.7830063
1978:02,	6.335096,	6.543147,	0.70730674
1978:03,	6.5698094,	7.263573,	0.7250178
1978:04,	6.971391,	8.111165,	0.91864604
1979:01,	7.404972,	8.652957,	1.0815419
1979:02,	7.7910585,	8.958273,	1.1544181
1979:03,	8.185533,	9.375105,	1.2152194
1979:04,	8.681569,	10.165544,	1.3524276
1980:01,	9.387274,	11.504838,	1.695238
1980:02,	10.159462,	12.466452,	1.9861252
1980:03,	10.478604,	11.395132,	1.7969943
1980:04,	10.722364,	11.475942,	1.6251129
1981:01,	10.570574,	10.16164,	1.432434
1981:02,	10.181922,	9.053799,	1.4105691
1981:03,	9.591786,	7.825,	1.5933782
