time_Nbr_10,	Mean_Nbr_10,	Signal_Nbr_10,	sdev_Nbr_10
1960:01,	2.0937498,	2.0937405,	4.707899E-5
1960:02,	2.0561006,	1.7563568,	0.10606437
1960:03,	1.9648958,	1.205494,	0.285072
1960:04,	1.8825443,	1.0893354,	0.380063
1961:01,	1.8006306,	0.86862653,	0.4725472
1961:02,	1.755649,	0.97456104,	0.5037747
1961:03,	1.7880666,	1.5135424,	0.45622203
1961:04,	1.7942724,	1.2917295,	0.43139595
1962:01,	1.7969512,	1.2889545,	0.41468522
1962:02,	1.8090639,	1.3911407,	0.39147174
1962:03,	1.8063655,	1.2793351,	0.38911444
1962:04,	1.7910099,	1.169604,	0.40703726
1963:01,	1.7782835,	1.167122,	0.42139596
1963:02,	1.7692167,	1.1621895,	0.4314403
1963:03,	1.7745461,	1.2631747,	0.42347217
1963:04,	1.8141091,	1.573184,	0.38322598
1964:01,	1.8796123,	1.8809332,	0.33151832
1964:02,	1.893,	1.563346,	0.30226505
1964:03,	1.8739007,	1.3506699,	0.31788096
1964:04,	1.8556045,	1.3436894,	0.33349422
1965:01,	1.8303216,	1.2345836,	0.36294258
1965:02,	1.8347442,	1.4373964,	0.35252848
1965:03,	1.8289533,	1.3326696,	0.35631895
1965:04,	1.8239516,	1.3258736,	0.3605731
1966:01,	1.8306746,	1.4213437,	0.3504708
1966:02,	1.9140515,	2.1180823,	0.31697428
1966:03,	2.0680823,	2.910391,	0.3996705
1966:04,	2.2369244,	3.3867779,	0.5280576
1967:01,	2.366055,	3.4674103,	0.5988103
1967:02,	2.426449,	3.2403424,	0.5937376
1967:03,	2.4794638,	3.4033425,	0.6080956
1967:04,	2.5213263,	3.4652169,	0.6271669
1968:01,	2.6204045,	4.1016717,	0.7610513
1968:02,	2.7218385,	4.348511,	0.8921318
1968:03,	2.8297622,	4.669382,	1.0313679
1968:04,	2.950259,	5.072549,	1.1910021
1969:01,	3.047857,	5.1900587,	1.3095319
1969:02,	3.1764395,	5.7518096,	1.4831886
1969:03,	3.269633,	5.7614512,	1.5945284
1969:04,	3.3232152,	5.6808634,	1.6497531
1970:01,	3.3749447,	5.858695,	1.7091925
1970:02,	3.4365573,	6.0984178,	1.7870055
1970:03,	3.471973,	6.0168524,	1.8276881
1970:04,	3.5201066,	6.257185,	1.8897411
1971:01,	3.4918442,	5.6925936,	1.8513905
1971:02,	3.3760917,	4.890754,	1.7196758
1971:03,	3.2347732,	4.44165,	1.5589116
1971:04,	3.0138535,	3.3741922,	1.3534112
1972:01,	2.8398325,	3.2662313,	1.1577731
1972:02,	2.6925287,	3.0060067,	0.97780704
1972:03,	2.582959,	2.9054031,	0.82291746
1972:04,	2.5089464,	2.889935,	0.6960146
1973:01,	2.4505203,	2.7915807,	0.5899592
1973:02,	2.442354,	3.0656607,	0.5380184
1973:03,	2.4714787,	3.3348775,	0.5492168
1973:04,	2.6231577,	4.4712467,	0.81095886
1974:01,	2.8330905,	5.2891717,	1.1357708
1974:02,	3.1583,	6.830535,	1.6545382
1974:03,	3.659491,	9.185869,	2.46072
1974:04,	4.163439,	10.406936,	3.1338706
1975:01,	4.5781713,	10.95156,	3.607215
1975:02,	4.7453494,	9.942823,	3.711485
1975:03,	4.60516,	7.8609605,	3.4822447
1975:04,	4.341369,	6.6837234,	3.148186
1976:01,	4.1119566,	6.43013,	2.8360863
1976:02,	3.9302793,	6.216179,	2.5720372
1976:03,	3.8449924,	6.5421658,	2.4148862
1976:04,	3.7588348,	6.208082,	2.2722387
1977:01,	3.6754806,	5.985676,	2.14271
1977:02,	3.6447992,	6.2378497,	2.0809817
1977:03,	3.6056492,	6.031979,	2.0170078
1977:04,	3.5755916,	6.00566,	1.9691926
1978:01,	3.5686584,	6.121597,	1.9530315
1978:02,	3.6131163,	6.543147,	2.0105574
1978:03,	3.7294447,	7.263573,	2.1781418
1978:04,	3.9131987,	8.111165,	2.4472737
1979:01,	4.109793,	8.652957,	2.7199922
1979:02,	4.2828817,	8.958273,	2.9451542
1979:03,	4.447394,	9.375105,	3.1567194
1979:04,	4.6483226,	10.165544,	3.4272923
1980:01,	4.9405737,	11.504838,	3.8434236
1980:02,	5.26141,	12.466452,	4.285271
1980:03,	5.3704443,	11.395132,	4.3918095
1980:04,	5.433565,	11.475942,	4.4486957
1981:01,	5.3225894,	10.16164,	4.296608
1981:02,	5.105155,	9.053799,	4.029709
1981:03,	4.8025684,	7.825,	3.678577
1981:04,	4.5678988,	7.7,	3.375258
1982:01,	4.290964,	6.625,	3.0398707
1982:02,	4.0287776,	6.0375,	2.7141602
1982:03,	3.840028,	5.975,	2.449011
1982:04,	3.6634433,	5.5,	2.20325
1983:01,	3.4351084,	4.525,	1.9323074
1983:02,	3.2922955,	4.725,	1.7206105
1983:03,	3.1797802,	4.5375,	1.5447214
1983:04,	3.1750636,	5.15,	1.496173
1984:01,	3.1449344,	4.8125,	1.4304719
1984:02,	3.1778772,	5.3,	1.4576867
1984:03,	3.1678212,	4.95,	1.4329754
1984:04,	3.0990639,	4.425,	1.3464128
1985:01,	3.0115864,	4.125,	1.2398353
1985:02,	2.9724107,	4.35,	1.1807555
1985:03,	2.9394326,	4.25,	1.1313239
1985:04,	2.8729825,	3.85,	1.0493761
1986:01,	2.7949758,	3.5875,	0.95571274
1986:02,	2.7188575,	3.4125,	0.8623449
1986:03,	2.675815,	3.5,	0.7979553
1986:04,	2.6631362,	3.625,	0.77051604
1987:01,	2.688855,	3.9,	0.7989702
1987:02,	2.7621222,	4.3625,	0.9066651
1987:03,	2.8339033,	4.5,	1.0033554
1987:04,	2.8707197,	4.375,	1.0437826
1988:01,	2.8735359,	4.2,	1.0401419
1988:02,	2.913297,	4.575,	1.0913053
1988:03,	2.988009,	4.975,	1.1983014
1988:04,	3.0365806,	4.9,	1.2584339
1989:01,	3.0623372,	4.85,	1.2875328
1989:02,	3.0842924,	4.9125,	1.3132607
1989:03,	3.0702493,	4.65,	1.2922423
1989:04,	3.0089211,	4.225,	1.2191912
1990:01,	2.9748,	4.35,	1.1726705
1990:02,	2.9368348,	4.2,	1.1216049
1990:03,	2.9383428,	4.45,	1.1197138
1990:04,	2.9499867,	4.5125,	1.1326065
1991:01,	2.8649135,	3.6625,	1.0422275
1991:02,	2.8161993,	3.8375,	0.97651154
1991:03,	2.7759466,	3.7725,	0.9197062
1991:04,	2.7252662,	3.55,	0.8539093
1992:01,	2.6727486,	3.4,	0.7860575
1992:02,	2.6496413,	3.525,	0.7488197
1992:03,	2.6144426,	3.325,	0.70106375
1992:04,	2.5803404,	3.25,	0.6549375
1993:01,	2.55273,	3.2125,	0.6162112
1993:02,	2.5520608,	3.375,	0.6111713
1993:03,	2.545833,	3.3,	0.6006302
1993:04,	2.5117357,	3.03,	0.5600236
1994:01,	2.5041473,	3.2,	0.54690653
1994:02,	2.50932,	3.275,	0.55140543
1994:03,	2.5203912,	3.325,	0.56471294
1994:04,	2.5395026,	3.425,	0.5908003
1995:01,	2.5523605,	3.4125,	0.6074126
1995:02,	2.5738685,	3.525,	0.63606435
1995:03,	2.56161,	3.275,	0.6198133
1995:04,	2.5138853,	2.95,	0.568004
1996:01,	2.4569986,	2.775,	0.5059703
1996:02,	2.4267702,	2.875,	0.46242416
1996:03,	2.4223447,	3.0025,	0.44895324
1996:04,	2.425151,	3.025,	0.44657674
1997:01,	2.4323058,	3.0625,	0.4525119
1997:02,	2.4307623,	3.0,	0.44811743
1997:03,	2.4119718,	2.85,	0.4246843
1997:04,	2.3692157,	2.6,	0.38060483
1998:01,	2.2997067,	2.2625,	0.32803148
1998:02,	2.2691324,	2.45,	0.2821326
1998:03,	2.2536004,	2.475,	0.24895129
1998:04,	2.2272246,	2.3125,	0.21303454
1999:01,	2.1924698,	2.175,	0.17886269
1999:02,	2.170371,	2.2,	0.14742099
1999:03,	2.1755254,	2.3775,	0.13970594
1999:04,	2.1986952,	2.525,	0.16541682
2000:01,	2.2103045,	2.4625,	0.17143655
2000:02,	2.2332962,	2.605,	0.20037135
2000:03,	2.262196,	2.7125,	0.2395377
2000:04,	2.2786055,	2.675,	0.25661713
2001:01,	2.2680511,	2.4875,	0.2413581
2001:02,	2.2610486,	2.5125,	0.22879742
