Date	Inf5yrPct25	Inf5yrPct50	Inf5yrPct75	Inf5yrRange	Inf5yrMean	Inf5yrVar
1979:02	4.5	7.2	10.3	5.7	9.1	95
1980:02	5	9.7	13.2	8.2	10.9	118
1980:08	4.7	8.7	11	6.4	9	80
1980:09	4.7	9.3	12.7	8	9.8	94
1981:01	2.9	7.4	10.5	7.5	7.7	82
1981:02	3.1	6.7	10.3	7.2	7.8	79
1981:03	2.5	5.9	10.2	7.7	7	80
1981:07	2.8	5.8	10.1	7.4	7.4	98
1981:08	3.2	6.7	10.3	7.1	7.7	73
1981:09	3.1	6.5	10.4	7.3	8.4	105
1982:01	3.5	6.1	10	6.5	7.5	75
1982:02	2.9	5.9	9.9	7	6.8	61
1982:03	1	5	9.6	8.7	6.1	89
1982:07	2.4	5.3	9.6	7.2	7	81
1982:08	2.9	5.4	10.1	7.2	7.6	77
1982:09	2.3	5.1	9.8	7.4	6.6	76
1983:01	2.2	5	9.1	6.9	6.2	69
1983:02	1.1	4.8	9.3	8.2	6	77
1983:03	2.3	4.9	7.5	5.2	5.6	49
1983:07	2.7	5	9.3	6.6	6.2	53
1983:08	2.8	4.9	8.6	5.8	7	79
1983:09	2.7	5	9.6	6.9	6.6	66
1984:01	2.5	4.9	7.5	4.9	6.6	76
1984:02	2.8	5	8.5	5.7	6.9	69
1984:03	2.9	5	9.6	6.7	6.8	69
1984:07	3	5.1	8.5	5.5	6.6	49
1984:08	2.7	4.9	9.5	6.8	6.6	60
1984:09	2.9	4.9	9.3	6.4	6.6	54
1985:01	2.5	4.7	7.4	4.9	6.2	56
1985:02	2.7	4.8	9.6	6.9	7.1	77
1985:03	2.3	4.7	7.2	4.9	5.8	64
1985:07	2.5	4.6	6.7	4.2	6.2	73
1985:08	2.5	4.7	6.9	4.4	5.7	43
1985:09	2.5	4.7	8.1	5.6	6.7	86
1986:03	1.7	3.8	5.4	3.7	5.2	66
1986:06	2.1	3.9	6.1	4	5.1	39
1986:09	2.3	4	5.5	3.1	5.4	59
1986:12	2.1	3.8	5.4	3.4	4.9	37
1987:03	2.3	3.9	5.5	3.2	5.2	46
1987:06	2.2	4.3	6.6	4.4	5.5	56
1987:09	2.1	3.4	5.4	3.3	5	41
1987:12	2.1	4.1	6.4	4.3	5.3	56
1990:04	2.3	4	5.5	3.2	5	34
1990:05	2	4.3	5.5	3.4	5.2	58
1990:06	2.6	4.6	5.6	3	5.5	43
1990:07	2.3	4.2	5.5	3.2	4.9	32
1990:08	2.6	4.6	6.6	4	5.8	43
1990:09	2.5	4.7	6.8	4.3	5.6	43
1990:10	2.6	4.6	6.7	4.1	5.9	60
1990:11	2.5	4.6	6.8	4.3	5.7	53
1990:12	2.3	4.5	6.8	4.5	5.8	55
1991:01	2.6	4.6	6.5	3.9	5.6	45
1991:02	2.6	4.6	6.6	4	6	62
1991:03	2.6	4.6	6.8	4.2	6.2	63
1991:04	2.3	4.2	6	3.6	5.1	37
1991:05	2.1	4.4	6.6	4.5	5.4	51
1991:06	2.3	4.5	6	3.7	5.8	61
1991:07	2.2	4.2	5.8	3.6	5.4	52
1991:08	2.1	4	5.3	3.2	5.4	64
1991:09	2.1	3.9	5.2	3.1	4.5	43
1991:10	2	3.7	5.4	3.4	5.1	49
1991:11	2.1	3.8	5.8	3.7	5.3	42
1991:12	2.2	3.8	5.2	3.1	4.7	38
1992:01	2.2	3.6	5.5	3.3	5.3	54
1992:02	2.1	3.4	5.3	3.2	4.5	29
1992:03	2.2	3.6	5.3	3.2	4.5	28
1992:04	2.1	3.9	5.4	3.3	4.8	39
1992:05	2.4	4	5.5	3.1	5.4	40
1992:06	2	3.4	5.4	3.4	4.6	36
1992:07	1.7	3.7	5.4	3.6	4.6	39
1992:08	2.1	4.2	5.4	3.3	5	38
1992:09	2.2	3.5	5.5	3.3	5	38
1992:10	2.1	3.7	5.3	3.2	5.1	46
1992:11	2.1	3.7	5.5	3.4	5.4	61
1992:12	2	3.4	5.3	3.3	5.2	66
1993:01	1.8	3.4	5.3	3.5	4.8	44
1993:02	2.4	4.1	5.7	3.3	5.9	72
1993:03	2.2	3.6	5.4	3.2	4.9	37
1993:04	2.1	3.5	5.2	3.1	4.7	45
1993:05	1.9	3.5	5.5	3.5	5.6	66
1993:06	2.2	3.8	5.5	3.3	5.2	39
1993:07	2	3.5	5.3	3.3	5	45
1993:08	1.9	3.3	5.3	3.3	4.6	31
1993:09	1.8	3.3	5.3	3.5	4.5	35
1993:10	2.3	3.5	5.4	3.1	4.7	30
1993:11	2.1	3.4	5.2	3.1	4.4	35
1993:12	2.3	3.6	5.3	3	4.8	41
1994:01	2	3.2	5.1	3.2	4.8	49
1994:02	2.2	3.3	5.1	2.9	4.6	39
1994:03	2.2	3.4	5.3	3	5.3	62
1994:04	2	3.2	5.1	3.1	5	49
1994:05	2	3.4	5.2	3.2	4.5	44
1994:06	2	3.4	5.3	3.2	4.8	36
1994:07	1.9	3.2	5.2	3.2	4.6	42
1994:08	2.3	3.5	5.4	3	5.4	54
1994:09	2	3.2	5.1	3.1	4.8	50
1994:10	2	3.3	5.1	3	4.6	32
1994:11	1.8	3.2	5.1	3.2	4.1	21
1994:12	1.8	3.2	5	3.2	4.2	31
1995:01	1.8	3.2	5	3.2	3.9	16
1995:02	2	3.2	5	3	4	24
1995:03	2.1	3.3	5	2.9	4.3	35
1995:04	2	3.5	5.2	3.2	4.4	22
1995:05	2	3.2	5	3	4.1	21
1995:06	2.1	3.1	5	2.9	4.4	24
1995:07	2	3.2	5	3	4.3	29
1995:08	1.7	3.1	4.9	3.1	4.1	30
1995:09	1.9	3.1	4.8	2.9	4.4	36
1995:10	2	3.2	4.9	2.8	3.7	12
1995:11	1.9	3.1	5	3.1	3.9	17
1995:12	1.9	3.1	4.9	3	3.9	15
